,Car Model,Price,History,Kilometers Driven,Transmission,Insurance,Owner,Fuel Type,Registration,Year of Purchase,Last Service
125,2016 Maruti Baleno DELTA 1.2 K12  MANUAL,"515,899",Non-Accidental,"85,463 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,GJ-01-R-x-xxxx,September 2016,"85,463km (03 Jan 2022)"
126,2019 KIA SELTOS GTX 1.4 GDI AT PETROL ,"1,629,999",Non-Accidental,"12,143 km",NA,Valid upto Jan 20233rd Party,1st Owner,Petrol,GJ-01-K-x-xxxx,September 2019,"12,143km (04 Jan 2022)"
127,2016 Maruti Vitara Brezza ZDI PLUS DUAL TONE MANUAL,"780,199",Non-Accidental,"49,358 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Diesel,GJ-05-J-x-xxxx,April 2016,"49,358km (09 Nov 2021)"
128,2020 Maruti Dzire VXI MANUAL,"718,799",Non-Accidental,"12,754 km",MANUAL,Valid upto Jun 2023Third_party,1st Owner,Petrol,GJ-02-D-x-xxxx,March 2020,"12,754km (06 Jan 2022)"
129,2020 Maruti Dzire VXI MANUAL,"719,699",Non-Accidental,"11,981 km",MANUAL,Valid upto Jun 2022Zero Depreciation,1st Owner,Petrol,GJ-01-K-x-xxxx,June 2020,"11,981km (17 Jan 2022)"
130,2018 Maruti Vitara Brezza ZDI MANUAL,"815,999",Non-Accidental,"67,366 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Diesel,GJ-15-C-x-xxxx,October 2018,"67,366km (18 Dec 2021)"
131,2018 Maruti Baleno DELTA 1.2 K12  MANUAL,"581,999",Non-Accidental,"50,896 km",MANUAL,Valid upto Jan 20233rd Party,2nd Owner,Petrol,GJ-27-C-x-xxxx,November 2018,"50,896km (28 Dec 2021)"
132,2018 Maruti Vitara Brezza VDI MANUAL,"757,199",Non-Accidental,"71,597 km",MANUAL,Valid upto Jul 2022Zero_Dep,2nd Owner,Diesel,GJ-18-B-x-xxxx,May 2018,"71,597km (16 Nov 2021)"
133,2013 Honda Brio 1.2 S MT I VTEC MANUAL,"318,699",Non-Accidental,"94,742 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,GJ-01-K-x-xxxx,January 2013,"94,742km (16 Dec 2021)"
134,2017 Maruti Swift VXI MANUAL,"537,099",Non-Accidental,"46,819 km",MANUAL,Valid upto Aug 2022Zero_Dep,1st Owner,Petrol,GJ-05-R-x-xxxx,July 2017,"46,819km (31 Dec 2021)"
